,Unnamed: 0,scenario,mmsi,ship_type,width,length,draught,nav_status,timestamp,lat,lon,sog,cog,timestamp_obj,ts_mmsi,R_x,R_y,theta,V_x,V_y,lat_ts,lon_ts,sog_ts,cog_ts,f_min,DDV,TDV,V_TDV,V_chg,cog_TDV,cog_chg,theta_rad,distance,ts_dot,DDV_dot,cog_dot,sog_dot,distance_dot
1,1,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976610.0,56.12134381818182,11.09493909090909,11.6,1.3272727272726002,2020-01-02 15:50:10,232003642,4.631565365361736,-0.2872673478371791,-178.3772727272726,-38.46094845240357,-1.342616969360252,56.1983805,11.0863682,8.2,182.95,0.7245716036928277,0.2754283963071723,0.1151965436028199,11.5,-0.0086206896551723,2.26965383484836,0.94238110757576,-3.113270719818792,4.64046552220268,10.0,-0.0262533521456777,-0.0060606060606005485,0.0,-0.05395676142146044
2,2,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976620.0,56.121866,11.094965,11.6,1.2333333333332348,2020-01-02 15:50:20,232003642,4.577078863630303,-0.2895128077610568,-177.7833333333333,-38.62863876787922,-1.4550656895972447,56.1979964,11.0863272,8.290000000000001,183.45,0.7477404805194136,0.2522595194805864,0.1132883293733737,11.5,-0.0086206896551723,2.18902157272715,0.9556882393939152,-3.1029045218372517,4.5862259636599845,10.0,-0.023168876826585916,-0.09393939393936535,0.0,-0.054239558542695576
3,3,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976630.0,56.1224464,11.0949998,11.6,1.3799999999998818,2020-01-02 15:50:30,232003642,4.518533108076012,-0.2918284647122246,-178.37999999999988,-38.65385438225212,-1.3874262590702535,56.197603,11.086293,8.3,183.0,0.7324095018797484,0.2675904981202516,0.1116031393589518,11.5,-0.0086206896551723,2.0955455573332165,0.7155455573333347,-3.113318319707483,4.5279471398852875,10.0,0.015330978639665205,0.14666666666664696,0.0,-0.05827882377469695
4,4,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976640.0,56.12297963636364,11.095024181818182,11.6,1.60909090909081,2020-01-02 15:50:40,232003642,4.463147438523106,-0.293419537180057,-179.80909090909086,-38.66565275175664,-1.1399483913666182,56.197215,11.08627,8.3,181.8,0.6802573472380811,0.3197426527619189,0.1101391592999432,11.5,-0.0086206896551723,1.9946459093332276,0.3855550002424173,-3.138260661381439,4.472782141217513,10.0,0.05215215464166728,0.22909090909092833,0.0,-0.05516499866777469
5,5,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976650.0,56.1235105,11.0950367,11.6,1.8599999999999,2020-01-02 15:50:50,232003642,4.408385312450512,-0.2943904977860383,179.48545454545456,-38.66617679304523,-1.1107008194176748,56.196835,11.086253636363637,8.3,181.3454545454545,0.6703028317794686,0.3296971682205314,0.1085366710296053,11.5,-0.0086206896551723,1.9199999999999025,0.0600000000000024,3.1326121412568044,4.418204027454607,10.0,0.009954515458612534,0.25090909090908986,0.0,-0.054578113762906
6,6,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976660.0,56.124046,11.095069,11.6,2.033333333333246,2020-01-02 15:51:00,232003642,4.355833596387206,-0.2962847400873266,179.62666666666678,-38.66153681201828,-1.2674185112004135,56.1964964,11.0862295,8.3,181.66,0.6984346603721809,0.301565339627819,0.1068767701632463,11.5,-0.0086206896551723,1.7572263462221194,-0.2761069871111268,3.135076757715683,4.365898643649909,10.0,-0.028131828592712405,0.17333333333334622,0.0,-0.05230538380469785
7,7,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976670.0,56.12458145454545,11.095101727272729,11.6,1.9909090909089853,2020-01-02 15:51:10,232003642,4.299124245864076,-0.2985848231022953,-179.210909090909,-38.64990643878255,-1.5658717565098348,56.1960886,11.0861937,8.3,182.78,0.7562082638295636,0.2437917361704363,0.1052015752703803,11.5,-0.0086206896551723,1.6213881479998928,-0.3695209429090924,-3.1278204191286,4.309480499777599,10.0,-0.057773603457382694,-0.042424242424260905,0.0,-0.05641814387231037
8,8,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976680.0,56.125121666666665,11.095124,11.6,1.7999999999998977,2020-01-02 15:51:20,232003642,4.244936380744407,-0.2996090413194873,-179.9799999999999,-38.66324003679436,-1.2206758444690466,56.1957275,11.0861855,8.3,181.82,0.6924149055301665,0.3075850944698335,0.1042617909099281,11.5,-0.0086206896551723,1.362595884722117,-0.4374041152777808,-3.1412435877393925,4.255496499141763,10.0,0.0637933582993972,-0.1909090909090876,0.0,-0.053984000635835194
9,9,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976690.0,56.125677,11.095154,11.6,1.8399999999998613,2020-01-02 15:51:30,232003642,4.186268294905915,-0.3014726400475372,179.46000000000015,-38.86106077029832,-1.0944479149114534,56.195307,11.08616,8.4,181.3,0.6677204085248191,0.3322795914751809,0.1023063784735252,11.5,-0.0086206896551723,1.2433528791665631,-0.596647120833298,3.1321678756290265,4.197109480300902,10.0,0.02469449700534737,0.03999999999996362,0.0,-0.05838701884086106
10,10,11f259c828,636018610,Tanker,32.0,183.0,11.3,0,1577976700.0,56.12622563636364,11.095197636363636,11.6,1.972727272727127,2020-01-02 15:51:40,232003642,4.130638244604291,-0.3039159248417855,-179.58939393939386,-38.84940139950776,-1.455220402412884,56.19493033333333,11.086130833333332,8.4,182.38333333333333,0.7325207044882288,0.2674792955117712,0.1004569646174866,11.5,-0.0086206896551723,1.151694799166567,-0.8210324735605601,-3.1344262259035727,4.141803616440554,10.0,-0.0648002959634097,0.1327272727272657,0.0,-0.0553058638603483
